店铺名称,id,店铺图片,店铺电话,一级业态,二级业态,产品服务,店铺评分,人均价格,店铺标签,店铺描述,,,,
长申超市,84663,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/1ace6594bedd474c8caadd2ff84ef551_b17681b67631bebae1965062b67418e8.jpeg,,购物,超市,"食品,日用品,生鲜产品,家居用品,服装",4.8,￥55/人,正弘中心购物热门榜第3名,长申超市简直是购物天堂😍！店铺空间超大，装修宽敞明亮。主打各种高品质商品，吃的、用的、穿的应有尽有。人气超旺的零食区，各种网红零食让人挑花眼。生鲜区的食材新鲜得很，每天都有好多人抢着买。不管是家庭采购还是个人囤货，长申超市都超合适，赶紧冲呀🛒！,,,,
福录,85084,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/9b3a0f09cc6f4ab4b6e7d9919fa68160_d28f758fbf730b2aad6665cd6435238b.jpeg,13073751200,购物,"杂货店,礼品店","礼品,家居用品,装饰品,文具,玩具",3.8,￥200/人,,福录一家超有氛围感的店✨ 店铺风格独特，装修超有特色，让人一进去就感觉好放松。他家主打产品超赞，人气单品更是让人疯狂心动💓 无论是和朋友小聚还是自己来享受时光都超合适。好多人都来这儿打卡，真实体验过才知道，真的太种草啦！适合爱生活、爱美好氛围的宝子们，赶紧冲！ ,,,,
雅诗兰黛,83865,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/83e0729e562d47009571efb4ece9f7e2_b426f478a6c8dd050bcd4e70f07b5e1f.jpeg,37161655108,购物,化妆品,"护肤品,彩妆,香水,护肤套装,口红",3.3,￥513/人,收录6年,雅诗兰黛门店装修超有格调，高级感满满。主打各种美妆护肤好物，像小棕瓶精华，维稳修护超绝！DW持妆粉底液，遮瑕力超强还持久。人气单品超多，柜姐超热情专业，会根据咱的肤质耐心推荐。不管是新手小白还是美妆达人，都能在这里找到适合自己的宝贝，轻松get精致妆容和细腻肌肤！,,,,
DR钻戒,85053,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/fb237ca61ca94f96b693817b42f996b9_806940b1e9454fda99da2771a8ebd328_%E9%BB%98%E8%AE%A4.jpeg,,购物,珠宝首饰,"求婚钻戒,结婚钻戒,情侣对戒,钻石项链,钻石手链",4.7,￥7661/人,郑州婚戒首饰好评榜第6名,DR钻戒一生只能定制一枚，仪式感拉满！门店装修超有格调，灯光柔和浪漫✨ 主打求婚钻戒、结婚对戒等。他家的戒指设计超精美，每一款都独特又迷人。很多情侣都爱来这选戒指💑 戴上它，就像把一生的承诺戴在了手上。不管是求婚还是结婚，DR钻戒都能让你成为最幸福的人，超适合正在筹备人生大事的宝子们！,,,,
CGV影城演出厅-郑州正弘城店,84228,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/d9d128c07bff483a8894859325f4dc53_721fbe599bff6d7a3e6f25f1d66a5ca6.jpeg,19939700473,休闲娱乐,电影院,"电影放映,3D电影放映,IMAX电影放映,杜比全景声电影放映,电影周边售卖",3.7,￥50/人,,郑州正弘城的CGV影城演出厅装修超有特色，氛围超棒。屏幕超大超清晰，音效也超震撼，看电影超爽！人气超高的。不管是刺激的动作片，还是感人的文艺片，在这里都能沉浸式体验。很适合情侣约会👫、朋友聚会👭一起来嗨。快来CGV影城演出厅，享受超赞的视听盛宴吧！,,,,
JUVA欧华医美连锁,84595,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/75a92b51931c42bca91afc0538472ce2_c16986d0bcc1da29ad8ef305595c0627.jpeg,15238026632,生活服务,医疗美容,"整形美容,皮肤美容,微整形,抗衰老治疗,医学纹绣",4.4,￥1053/人,郑州医美回头客榜第16名, JUVA 欧华医美连锁主打各种医美项目，能满足咱变美的小心愿~门店装修超有格调，环境舒适又安心😌。人气单品超多，像光子嫩肤、水光针等，做完效果超赞👍！专业的医生团队会根据每个人的情况定制方案。不管你是想改善皮肤问题，还是追求更精致的自己，来这都没错，冲就完事儿啦💖！,,,,
dzzit,84041,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/371c9e9580f9448581685105570dcc7c_132130230310.jpg,15660552575,购物,服装,"女装,男装,童装,配饰,鞋履",3.6,￥946/人,金水区服装热门榜第8名,dzzit店里风格超独特，装修很有个性，到处都是时尚小心机✨。他家主打各种潮流服饰，设计感满满。人气单品更是多到挑花眼，像那些个性剪裁的上衣、超有范儿的裙子，穿上立马变身时髦精。适合追求独特、爱时尚的姐妹们👭。每次逛都能发现新惊喜，分分钟剁手，完全停不下来！,,,,
IWC万国表,83902,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/c3857e660fda43bd82de902f07866896_e792208c0068e026a2e5fba8d60073bb.jpeg,13676977165,购物,钟表,万国手表,4.1,￥37940/人,收录6年好店,IWC万国表店高级感扑面而来。他家主打各种超酷炫的机械腕表，工艺精湛，设计独特。店铺装修简约大气，灯光一打，表款璀璨✨。像万国飞行员系列，那可是人气爆棚！无论是商务精英还是时尚潮人，戴上万国表都超有范儿。精准计时，彰显品味，戴上它，你就是人群中的焦点，赶紧冲！,,,,
kidsland,84011,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/dee06f15aa004b88a09f8ffd20f68d29_kidsland.jpg,13523569892,购物,玩具,"儿童玩具,儿童服装,儿童鞋类,儿童饰品,儿童学习用品",3.4,￥342/人,,kidsland这里简直是孩子们的梦幻王国🎠。店铺风格童趣满满，装修超有特色，一进去就像走进童话世界。主打各种玩具、文具和益智产品🧸。他家的人气单品多到挑花眼，质量超棒👍。不管是小宝贝还是大孩子，都能在这里找到心头好。每次路过都忍不住进去逛逛，真的太好逛啦！快带娃来打卡吧🤩！,,,,
李宁,84883,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/7de4a1143aab4f5ba74debeb7167aaa2_8f25816714e4c28f7080596b84e4f26d.jpeg,18537167324,购物,运动用品,"运动鞋,运动服装,运动背包,运动配件,运动器材",3.5,￥1050/人,金水区运动户外人气榜第8名,李宁门店超有特色，装修简洁大气，运动氛围拉满。主打产品超丰富，从潮流服饰到专业装备，啥都有。人气单品更是多到挑花眼，像悟道系列，设计感十足，上脚超酷。还有韦德之道，实战性能超棒。适合运动爱好者和追求时尚的宝子们。每次逛都忍不住剁手，在这能轻松get到心仪的运动好物，冲就完事儿！,,,,
breo倍輕鬆,84136,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/1ebc9648850541f299160e2df2120923_f7564dde037427262c2c7b6b11cc90b4.jpeg,15093184823,购物,数码产品,"按摩器,眼部按摩仪,颈部按摩仪,头部按摩仪,便携按摩器",4.8,￥1349/人,正弘中心电子数码好评榜第8名,breo倍轻松店铺风格简约又时尚✨，装修超有质感。主打各种健康养生的按摩小电器，像眼部按摩仪、颈部按摩器等。人气单品那是相当多👍，比如姜小竹艾灸盒，在家就能轻松享受艾灸。很适合打工人、低头族，累了用它按一按，瞬间放松。每次去都好多人，体验感超棒，真心种草！ ,,,,
爱慕,83970,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/dec126645d2747718bfa335b7693a8e6_%E7%88%B1%E6%85%95.jpg,13140041060,购物,内衣,"内衣,家居服,保暖衣,泳衣,文胸",3.5,￥700/人,收录6年好店,爱慕主打内衣、家居服等服饰。店铺风格简约优雅，装修精致舒适✨。人气单品超多，内衣舒适又塑形，家居服柔软亲肤。很多人都说穿上超舒服，质感超棒👍。无论是日常穿着还是追求品质生活的姐妹，都能在这里找到心仪好物，真的太好逛啦，赶紧冲！,,,,
奥佳华,84122,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/ac3b76eb85fc4511abcaf3cc8833dce5_3971fb1fcaff77e2e1d51b70b572859d.jpeg,15225721898,购物,"家居用品,健康护理用品","按摩椅,健康按摩器材,保健产品,按摩器具,按摩设备",3.5,￥20000/人,收录6年好店,奥佳华装修超有格调，一进去就感觉很舒适。主打各种按摩椅等健康家居产品。人气超旺的按摩椅，功能超强大！能精准按摩全身，缓解疲劳。不管是上班族累了一天想放松，还是长辈想要舒适体验，奥佳华都能满足。在这儿，享受高品质的健康呵护，真的太赞啦，赶紧冲！ ,,,,
edition,83972,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/241927f9b3514be991d049c11cad0557_8be48f6b26f9295e7b83822f8d945d18.jpeg,15978446166,购物,服装,"服装,配饰,鞋履,包包,时尚穿搭建议",3.5,￥2000/人,收录6年好店,edition风格简约大气，装修超有质感，一整个爱住！主打各种高品质服饰，剪裁精致，面料舒适。人气单品超多，像简约风连衣裙，穿上气质拉满。还有基础款T恤，百搭又时尚。适合追求品质、喜欢简约穿搭的姐妹们。每次逛都能挑到心仪的，轻松get时髦精同款，冲就完事儿！,,,,
Leysen莱绅通灵,85041,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/a4a4583669bb4d94ac20b70786b32289_%E9%BB%98%E8%AE%A4logo.png,,购物,珠宝首饰,"钻石饰品,彩宝饰品,珠宝首饰",4.3,￥16051/人,收录5年好店,Leysen莱绅通灵主打珠宝首饰，风格超有格调✨。店铺装修精致大气，一进去就被美到。人气单品“王室马车”项链超吸睛，设计独特。很多明星都戴过他家珠宝。适合追求品质、喜欢独特珠宝的宝子们😍。戴上它，瞬间提升气质，无论是日常出街还是重要场合，都能成为焦点，轻松拿捏氛围感~,,,,
JNBY,84024,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/0fe9a5a651014c47b5285d70c7295af0_1321566.jpg,13783560171,购物,服装,"女装,男装,童装,配饰,家居服",3.5,￥2060/人,收录6年好店,JNBY整体风格简约又不失设计感，装修很有格调，灯光一打氛围感绝了。他家衣服超有特色，融合江南风与现代时尚，面料舒适剪裁精致。像他们家的水墨画印花连衣裙，文艺范十足，穿上就是江南温婉佳人。无论是日常出街还是重要场合，都能轻松hold住，狠狠种草给追求品质和独特风格的姐妹们！ ,,,,
樊文花面部护理,83778,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/7f584423792b42a0ac7e7f71101655ee_%E6%A8%8A%E6%96%87%E8%8A%B1.png,15045513313,生活服务,美容护肤,"面部护理,皮肤清洁,皮肤补水,皮肤美白,皮肤抗衰",4.4,￥132/人,建业凯旋广场皮肤管理销量榜第6名,樊文花面部护理主打专业面部护理，针对不同肤质定制方案。店铺风格简约舒适，装修温馨。人气单品超多，比如草本净透卸妆油，温和卸妆超干净。还有面部护理套餐，做完皮肤水嫩有光泽。无论你是干皮、油皮还是敏感肌，都能在这里找到适合自己的护理，快来体验吧！,,,,
Cabbeen,84848,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/752aa2824ea444fb9baa0d57b16a8025_9d393e42e88dcefe5e1e8f8c24ac729a.jpeg,13037533306,购物,服装,"男装,女装,童装,配饰,鞋履",4.8,￥559/人,,Cabbeen店铺风格超有个性，装修独特，很吸睛。主打潮流服饰，款式多样。人气单品超多，像他家的牛仔外套，版型超正，面料超舒服。还有各种时尚T恤，图案设计超酷炫。适合追求潮流、个性的宝子们。每次逛都能挑到心仪的，穿上瞬间气场两米八，爱时尚的赶紧冲！,,,,
兰熊鲜奶,84641,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/398feaaec14945dc982aacc79b4dbe50_%E9%BB%98%E8%AE%A4logo.png,,生活服务,饮品店,"酸奶,鲜奶",4.2,￥17/人,郑州美食热门榜第1名,兰熊鲜奶装修超有特色，简约又时尚✨。主打各种鲜奶饮品，人气超高的！像兰熊烧鲜奶，口感醇厚，香甜不腻😋。还有雪顶鲜奶，顶上的奶油绵密，和鲜奶搭配绝了！无论是逛街累了，还是下午茶时光，来一杯都超合适~学生党、上班族都爱😍，快来尝尝这美味的鲜奶饮品吧！,,,,
ASICS,84070,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/f6d253545f6f427aa177e9bf10990543_ASICS.jpg,15294639192,购物,运动用品,"运动鞋,运动服装,运动背包,运动护具,运动配件",3.4,￥1890/人,正弘中心运动户外人气榜第5名, ASICS店铺风格简约又时尚✨。主打运动装备，运动鞋超绝👍，脚感舒适，款式还超多。装修特色就是满满的运动氛围，让人活力满满💪。人气单品 Gel-Nimbus 系列，缓震超棒。适合爱运动的宝子们，不管是日常跑步还是健身，穿上 ASICS 都超带感，能尽情享受运动的快乐，赶紧冲！,,,,
RAPIDO,85062,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/3e56e846e2d74621b5111130af45917a_806940b1e9454fda99da2771a8ebd328_%E9%BB%98%E8%AE%A4.jpeg,18860381363,购物,运动用品,"运动服装,运动鞋,运动背包,运动配件,运动器材",3.7,￥300/人,正弘中心运动户外人气榜第10名,RAPIDO的风格超酷炫，装修超有特色，一进去就感觉活力满满。主打运动休闲风服饰，时尚又舒适。人气单品那可太多啦，像简约的运动T恤、超有型的运动裤。无论是日常出街还是运动健身，都超合适。好多运动爱好者都爱来这挑装备，咱也赶紧冲，让自己时尚运动两不误😎,,,,
名创优品,84600,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/f9ea4a1fd1ad4a968900e931e852e389_%E5%90%8D%E5%88%9B%E4%BC%98%E5%93%81%28MINISO%29.png,,购物,家居用品,"美妆护肤产品,家居用品,饰品,文具,毛绒玩具",3.8,￥46/人,郑州居家日用人气榜第2名,名创优品一进店，满满当当全是精致好物。他家风格简约时尚，装修明亮又舒适，让人心情超愉悦。人气单品多到挑花眼，可爱的玩偶、实用的家居用品、好看的饰品……价格还超亲民。不管是学生党还是上班族，都能在这里找到心仪之物。每次逛都忍不住买买买，根本停不下来！宝子们一定要来感受下😘 ,,,,
杰克琼斯,84866,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/7796ce8ac9064f54910ad00d5954571a_7cd5f326a28abb8557a6151abc231131.jpeg,13271563061,购物,服装,"男装,休闲装,牛仔裤,上衣,外套",3.4,￥298/人,,杰克琼斯主打时尚潮流男装，店铺风格超酷😎，装修简约又大气。人气单品超多，像经典牛仔外套，版型绝绝子，怎么搭都好看。还有休闲卫衣，面料舒服，款式新颖。无论你是阳光少年，还是型男大叔，都能在这里找到心仪的衣服。每次逛都忍不住剁手，赶紧冲！🛍️,,,,
茉酸奶,85119,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/fe330b42aacb4e4ea151ff3a796b481c_%E8%8C%89%E9%85%B8%E5%A5%B6.jpeg,16692185571,购物,食品饮料,"酸奶,鲜奶,酸奶饮品,特色酸奶制品,酸奶冰淇淋",4.4,￥21/人,金水区酸奶鲜奶口味榜第4名,茉酸奶门店装修简约又清新，很有氛围感。主打各种特色酸奶，像牛油果酸奶奶昔超火。酸奶都是手工现做，口感醇厚。牛油果味浓郁，喝一口超满足。还有多种口味可选，适合不同喜好的宝子。无论是健身达人补充蛋白质，还是上班族午后解腻，来这买一杯茉酸奶都超合适！,,,,
诗普琳,83956,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/d1044c514e4e44e1a8459407aa1ce330_a60cba26cee29f1186fd1a83d0dbe617.jpeg,15037907155,购物,珠宝首饰,"钻石首饰,黄金首饰,铂金首饰,宝石首饰,珠宝定制",4.3,￥743/人,收录2年好店,诗普琳装修简约大气，风格很有质感✨。主打各类珠宝首饰，每一款都超精美。人气单品超多，像他家的小蝴蝶项链🦋，灵动又闪耀，戴上超吸睛。还有四叶草手链，寓意美好。这里很适合爱美的小仙女们🧚‍♀️，不管是日常佩戴还是收藏都超合适，来这总能挑到心仪的宝贝，狠狠种草啦！,,,,
LILANZ,84140,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/9cf671d6f5784fbc977cf064d03c23cc_d28137d08a54a2928c268ec11dd19698.jpeg,57190629,购物,服装,"男装,女装,童装,配饰,鞋履",3.5,￥1000/人,收录4年好店,LILANZ店铺风格简约时尚，装修超有质感✨。主打各类潮流服饰，款式超丰富。人气单品那可太多啦，像经典牛仔裤，版型超正，穿着巨显腿长🦵。还有简约的T恤，百搭又舒适。不管是学生党还是上班族，都能在这里挑到心仪的衣服。每次逛都能收获满满，爱了爱了💕，赶紧冲！,,,,
DJI大疆,83764,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/261bd8325212497fbe077cda11748b08_6693761f970062d437adb6a6f1980f32.jpeg,,购物,数码产品,"无人机,航拍设备,手持稳定器,相机,飞行眼镜",4.8,￥3731/人,正弘中心电子数码好评榜第2名,大疆真的超酷！他家是科技爱好者的天堂😍。门店装修简约科技感十足✨。主打各种超厉害的航拍无人机等产品📷，像大疆 Mini 系列，小巧便携超适合新手入门；Air 系列性能超棒，出片率超高📸。专业飞手也能在这里找到心仪装备。不管是日常记录还是专业创作，大疆都能满足，快来探索科技的魅力吧🛫。,,,,
Beneunder蕉下,84060,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/f5580900423146a4862a59ced00554fb_fe738c3c8de4bddefc663b554e5bc827.jpeg,18614954433,购物,"鞋类,服装,箱包","防晒衣,防晒帽,防晒伞,防晒手套,防晒口罩",3.6,￥129/人,建业凯旋广场服饰鞋包人气榜第8名,Beneunder蕉下店铺风格简约时尚，装修超有质感✨。主打防晒产品，像防晒衣、遮阳伞啥的，颜值超高又超实用👍。人气单品的防晒衣轻薄透气，防晒力强，穿在身上一点不闷热。不管是日常通勤还是户外运动，都能轻松hold住。简直是防晒爱好者的福音，咱就是说一整个爱住啦💕！,,,,
一只酸奶牛,83791,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/3eb5152ab0354000a2c7ee8ebb646b7e_%E4%B8%80%E5%8F%AA.jpg,19337153079,生活服务,饮品店,"酸奶,鲜奶,酸奶饮品,奶制品",4.1,￥15/人,,一只酸奶牛装修简约又清新，让人超舒服😌。主打各种酸奶饮品🥤，像紫米酸奶露，紫米软糯，酸奶酸甜，口感超丰富。还有人气爆棚的牛油果酸奶昔，满满牛油果香，健康又美味。不管是逛街累了，还是下午茶时光，来一杯都超合适，简直是打工人和学生党的快乐源泉😍！ ,,,,
