,店铺名称,store_id,所属品牌,店铺地址,营业时间,店铺电话,会员权益,店铺描述,店铺亮点,店铺评分,人均价格,适合就餐人数,适合场景,一级业态,二级业态,菜系,口味,辣度,设施,服务,环境,排队信息,店铺招牌,店铺图片,picture,
11,奇檬子,83989,奇檬子,郑州正弘城L3,10:00-22:00,17329289378,,"✨宝子们，今天必须给你们种草一家超有特色的店——奇檬子！

这家店的风格超独特，装修充满创意，一进去就感觉像走进了一个奇妙的小世界🎈。

它的主打产品超赞，各种奇奇怪怪又可可爱爱的小物件让人挪不动脚。人气单品更是多到挑花眼，比如那些造型独特的手工饰品，戴上瞬间提升时尚感。还有各种创意家居摆件，能给生活增添不少趣味。

不管你是追求个性的潮人，还是喜欢搜罗独特好物的小可爱，奇檬子都超适合你！快来这里，把那些独一无二的宝贝带回家吧🛍️！ ",收录6年,4,¥22/人,1-2人,"情侣,家人,朋友",餐饮美食,奶茶,"甜品饮品 奶茶,茶饮空间,下午茶","甜,酸甜",不辣,"有停车场,有WIFI,商场公共卫生间","纸巾提供,节日套餐","现代简约,安静,明亮",,,,,
12,豆捞坊,84150,豆捞坊·鲜牛肉火锅,郑州正弘城L7,10:00-22:00,15703977900,,宝子们，今天必须给你们种草豆捞坊🎉！这店主打特色豆捞，锅底超鲜美，食材超新鲜。店铺风格时尚又温馨，装修精致有格调。人气单品虾滑，Q弹爽滑，虾肉满满🦐；手工鱼丸，口感超棒，鲜味十足。这里适合家庭聚餐、朋友小聚~服务员态度超热情，会贴心帮忙涮煮。每次来吃都超满足，能感受到满满的诚意。食材品质高，味道超赞，性价比也不错👍。真心推荐给爱吃火锅的友友们，快来豆捞坊享受美味吧！ ,郑州潮汕牛肉火锅打卡人气榜·第7名,4.7,¥101/人,"3-4人,4-6人,6-10人","情侣,家人,朋友",餐饮美食,火锅,"潮汕菜,广东火锅,牛杂火锅","辣,酸辣",中辣,"有停车场,有包厢,有WIFI,有大桌","扫码点餐,纸巾提供,节日套餐","复古风,网红打卡风,有卡座",,,,,
13,山云树,84156,山云树鲜榨果汁,郑州正弘城L7,10:00-22:00,17763542544,,"🌳宝子们，发现一家超有氛围感的店👉山云树！

✨店铺风格独特，充满自然气息，仿佛置身山林间。装修特色超吸睛，木质元素与绿植巧妙搭配，让人倍感清新舒适。

🥰他家主打产品超赞，有各种精致的手工艺品，每一件都独具匠心。人气单品更是让人爱不释手，比如那个手工编织的小篮子，颜值超高又实用。

🎈适合喜欢自然风、追求独特的宝子们。在这里，能感受到别样的宁静与美好，分分钟出片📷，赶紧冲呀！ ",金水区茶饮果汁口味榜·第1名,4.7,¥17/人,1-2人,"情侣,家人,朋友",餐饮美食,奶茶,"甜品饮品 奶茶,茶饮空间,下午茶","甜,酸甜",不辣,"有停车场,有WIFI,商场公共卫生间","纸巾提供,节日套餐","现代简约,安静,明亮",,,,,
14,炉小哥,84162,炉小哥烤肉,郑州正弘城L8,10:00-22:00,15939210372,," 🍲炉小哥，烤肉界的宝藏店铺

宝子们，一定要来试试炉小哥！他家装修超有特色，工业风满满，各种金属元素超酷😎。主打烤肉，菜品新鲜得没话说。人气单品雪花牛肉，纹理超美，烤起来滋滋冒油，入口即化🥩。秘制酱料更是一绝，不管蘸啥都香迷糊了。店员服务也超热情，会贴心帮忙烤肉。不管是家庭聚餐还是朋友小聚，来这都倍儿合适。在这能享受超棒的烤肉体验，性价比超高，吃完直接被种草，必须N刷！ ",金水区融合烤肉热门榜·第6名,4.6,¥90/人,"1-2人,3-4人,4-6人","情侣,家人,朋友",餐饮美食,烧烤烤肉,"中式烧烤,烤肉定食","甜,咸,辣,咸鲜",微辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,纸巾提供,宝宝椅,可带宠物","复古风,热闹,放松随意",,,,,
15,玩米匠,84170,玩米匠,郑州正弘城B1,10:00-22:00,18703875934,," 🔥被问爆的宝藏店铺👉玩米匠
宝子们，今天必须给你们种草玩米匠！

这家店风格超独特，一进去就被吸引。装修很有个性，细节满满。

他家主打产品超赞，像[具体人气单品1]，味道绝绝子，口感超棒。还有[具体人气单品2]，也超受欢迎。

适合人群超广，不管是年轻人聚会，还是想找个特别的地方放松，来这都没错。好多人来这打卡拍照，氛围超嗨。真实用户都说体验感超棒，我去了一次就爱上啦，宝子们赶紧冲！ ",收录5年 ,4,¥33/人,"1-2人,3-4人","情侣,家人,朋友",餐饮美食,小吃快餐,日韩料理 寿司,"咸鲜,甜咸",不辣,"有停车场,有WIFI,商场公共卫生间",纸巾提供,"复古风,有卡座,明亮",,,,,
16,胖哥俩,84179,胖哥俩肉蟹煲,郑州正弘城L8,10:00-22:00,15736707152,," 被这家肉蟹煲香迷糊啦😍

宝子们，一定要来尝尝胖哥俩！

一进店，浓郁香味扑鼻。装修简约又温馨，超有氛围。

他们家主打肉蟹煲，螃蟹、鸡爪等食材超丰富。招牌肉蟹煲里的螃蟹肥硕饱满，鸡爪一抿就脱骨，配菜吸满了汤汁，绝绝子👍

人气单品年糕，糯叽叽的超好吃。

不管是家庭聚餐还是朋友小聚，这里都超合适。店员服务也热情周到。每次吃完都念念不忘，真心推荐给爱吃煲的宝子们，快来胖哥俩大快朵颐吧！ ",郑州肉蟹煲好评榜·第1名,4.4,¥80/人,"1-2人,3-4人,4-6人","情侣,家人,朋友",餐饮美食,鱼鲜海鲜,江浙菜,"咸鲜,甜咸",不辣,"有停车场,有WIFI,商场公共卫生间,纸巾湿巾","自助结账,纸巾提供,宝宝椅","复古风,有卡座,明亮",,,,,
17,米村拌饭,84180,米村拌饭,郑州正弘城L8,10:00-22:00,15754538419,,"宝子们，今天必须给你们种草米村拌饭！🌾

他家的装修风格简约又温馨，一进去就超有食欲~🥢

主打石锅拌饭、安格斯肥牛等特色美食，味道绝绝子！石锅拌饭的配菜丰富，米饭粒粒分明，酱料一拌，香迷糊啦！安格斯肥牛鲜嫩多汁，入口即化。

适合打工人快速干饭，也适合家庭聚餐。服务员态度超热情，出餐速度还快。每次去都人超多，人气爆棚！真心推荐大家去尝尝，保证你吃一次就爱上！💕 ",郑州拌饭菜品榜第1名,4.2,¥32/人,"1-2人,3-4人","情侣,朋友,同事",餐饮美食,小吃快餐,"石锅拌饭,朝鲜特色","咸鲜,甜咸",不辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,纸巾提供,宝宝椅","花园风,有卡座,安静",,,,,
18,虎丫炒鸡,84183,虎丫炒鸡,郑州正弘城L8,10:00-22:00,13213140221,,"😍宝子们，今天必须给你们种草虎丫炒鸡！

他家的炒鸡堪称一绝👍，鸡肉鲜嫩入味，配菜丰富爽口，每一口都超满足。店内装修很有特色，浓浓的国潮风，让人仿佛穿越到古代😎。

服务员热情周到，点菜时会细心推荐招牌菜和特色口味。人气超高的招牌炒鸡，一端上桌香气扑鼻，瞬间勾起食欲😋。无论是家庭聚餐还是朋友小聚，来这都超合适。爱吃炒鸡的宝子一定不要错过，保证吃一次就爱上💖！ ",正弘中心美食口味榜·第4名 ,4.8,¥55/人,"3-4人,4-6人","情侣,家人,朋友",餐饮美食,其他地方菜,家常私厨,"辣,咸鲜",中辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,纸巾提供,宝宝椅,可带宠物","花园风,有卡座,安静",,,,,
19,阿三生煎,84185,阿三生煎,郑州正弘城L8,10:00-22:00,15993687520,,"🥟宝子们，一定要来试试阿三生煎呀！

他家的生煎包超绝！底脆馅香，咬一口汤汁四溢，肉馅鲜嫩多汁，一口一个根本停不下来😍。店铺装修简洁明亮，风格很有烟火气。

这里人气超高，不管是上班族快速解决午餐，还是学生党解馋，都超合适。除了生煎，其他小吃和饮品也都很不错。我超爱他们家的酸辣汤，酸酸辣辣特别开胃。每次来阿三生煎，都能吃得超满足，真心种草给大家，快来尝尝吧！ ",收录5年,4.1,¥21/人,1-2人,"情侣,朋友,一个人",餐饮美食,其他美食,生煎包,"辣,咸鲜",微微辣,"有停车场,有WIFI,纸巾湿巾","纸巾提供,宝宝椅,可带宠物","现代简约,有卡座,景观位",,,,,
20,太子浓心,84189,太子浓心招牌炸酱小锅米线,郑州正弘城L8,10:00-22:00,15517565653,," 🍜太子浓心 | 一口惊艳的港式炸酱小锅米线

宝子们，发现一家超好吃的港式米线店——太子浓心！

一进店，浓郁的港风扑面而来，霓虹灯牌、复古海报，仿佛穿越到了香港街头。

他家主打炸酱小锅米线，米线Q弹爽滑，炸酱香气四溢，再配上灵魂炸蛋，一口下去超满足！还有各种特色小食，咖喱鱼蛋、招牌炸猪排，都好吃到停不下来。

无论是一人食还是和朋友聚餐，这里都超合适。快来太子浓心，开启一场舌尖上的港式之旅吧😋！ ",正弘中心小吃快餐好评榜·第1名,4.6,¥27/人,1-2人,"情侣,家人,朋友",餐饮美食,小吃快餐,米线,"酸,辣,咸鲜",微辣,"有停车场,有WIFI","纸巾提供,可带宠物","工业风,有卡座,明亮",,,,,
22,上井,84233,上井·精致料理,郑州正弘城L7,10:00-22:00,15637443001,,"宝子们，今天必须给你们种草上井！这是一家超棒的店👏。店里主打精致日料，风格超有氛围感，装修特色满满，仿佛一秒穿越到日本。

他家人气单品超多，像刺身拼盘，新鲜得没话说，各种刺身肉质鲜嫩，入口即化😋。还有烤鳗鱼，甜咸交织的味道绝了。寿喜锅也超赞，汤底浓郁，涮啥都好吃。适合爱日料的宝子们，不管是约会还是聚餐，来这都超合适，能让你尽情享受美味的日式料理盛宴，赶紧冲呀！ ",收录6年,4.1,¥293/人,"3-4人,4-6人,6-10人","情侣,家人,朋友",餐饮美食,鱼鲜海鲜,"海鲜自助,日韩料理 寿司","咸鲜,甜咸,酸甜",不辣,"有停车场,有包厢,有WIFI","自助结账,纸巾提供","网红打卡风,有卡座,包厢",,,,,
23,曼玉,84237,曼玉餐厅,郑州正弘城L8,10:00-22:00,17744629117,,宝子们，一定要来曼玉呀！他家装修超有特色，时尚又精致，随手一拍都很出片📸。主打融合菜，味道超赞！像汴京烤鸭，皮脆肉嫩，香得嘞😋。还有招牌芝士焗红薯，甜糯拉丝，一口爱上。人气单品超多，每一道都能戳中味蕾。适合朋友聚餐、情侣约会~服务员态度也超热情，让人用餐超舒服。每次来曼玉都有新惊喜，菜品不断创新，环境也始终保持高水准。真心推荐给各位美食爱好者，快来尝尝吧😍！ ,金水区特色菜好评榜·第3名,4.6,¥75/人,"3-4人,4-6人,6-10人","情侣,家人,客户",餐饮美食,特色私房菜,"川菜,客家菜,东北菜","咸鲜,酸辣,酸甜",微辣,"有停车场,有空调,有大桌","纸巾提供,无障碍洗手间,宝宝椅","复古风,有卡座,包厢",,,,,
24,巴奴,84239,巴奴毛肚火锅概念餐厅,郑州正弘城L8,10:00-22:00,15225181079,,宝子们，今天必须给你们种草巴奴！他家的毛肚那叫一个绝，脆嫩脆嫩的，在锅里七上八下后，裹上蘸料，一口下去超满足😍。店铺风格简约大气，装修很有特色。人气超旺，每次去都要排队。除了毛肚，菌汤也特别鲜美，涮啥都好吃。服务也超贴心，会主动帮忙调火候。不管是和朋友聚餐还是家庭聚会，来巴奴都超合适！他家真的把火锅做出了独特风味，吃过一次就忘不了，赶紧冲呀！ ,正弘中心美食好评榜·第3名,4.7,¥126/人,"3-4人,4-6人,6-10人","情侣,家人,朋友",餐饮美食,火锅,重庆火锅,辣,麻辣,"有停车场,有空调,有大桌","纸巾提供,无障碍洗手间,宝宝椅","复古风,有卡座,包厢",,,,,
25,太二酸菜鱼,84240,太二酸菜鱼,郑州正弘城L8,10:00-22:00,18595748670,,"😍宝子们，一定要来尝尝太二酸菜鱼！

🌿他家装修超有特色，国潮风满满，各种有趣的标语和漫画，拍照超好看📸。
主打酸菜鱼，鱼肉鲜嫩爽滑，酸菜更是灵魂，酸辣开胃，一口就爱上！
🥢还有很多人气单品，像老坛子酸菜鱼、二哥爱鸡翅，味道绝绝子👍。
这里适合爱吃鱼、爱尝鲜的宝子们，不管是聚餐还是一人食，都超合适。服务员也超有意思，“酸菜比鱼好吃”可不是说说而已哦，来了就知道有多妙啦，赶紧冲！ ",金水区川菜好评榜·第7名,4.7,¥69/人,"3-4人,4-6人","情侣,家人,朋友",餐饮美食,鱼鲜海鲜,川菜,"辣,酸辣",麻辣,"有停车场,有WIFI,自助结账","无障碍洗手间,宝宝椅,可带宠物","复古风,有卡座,安静",,,,,
26,鲜芋仙,84241,鲜芋仙,郑州正弘城L8,10:00-22:00,18736006488,,宝子们，一定要去鲜芋仙呀！他家店铺风格超清新，装修也很有特色，让人一进去就感觉心情超好😃。主打各种美味的芋圆甜品，芋圆Q弹软糯，搭配上香甜的芋头、仙草等食材，口感层次超丰富😍。人气单品有招牌芋圆4号，满满的都是料。还有芋泥牛奶冰，细腻的芋泥和冰沙融合得恰到好处，奶香十足。无论是喜欢吃甜的小仙女🧚‍♀️，还是甜品控的宝子们，都能在这里找到满足味蕾的美味，真的太赞啦，赶紧冲！ ,收录6年,4.3,¥26/人,"1-2人,3-4人","情侣,朋友,一个人",餐饮美食,面包甜点,甜品饮品 奶茶,甜,不辣,"有停车场,有WIFI,商场公共卫生间",可带宠物,"现代简约,安静,明亮",,,,,
27,喜乐,84261,喜乐冰糖葫芦,郑州正弘城B1,10:00-22:00,15524901200,," 宝藏店铺喜乐🎀，逛一次就爱上！
✨店里风格超独特，装修精致又温馨，一进去就感觉超治愈。

🎈他们家主打产品超有特色，好多都是别处找不到的小众好物。人气单品更是绝绝子，像那个手工编织的小挎包，质感超棒，背上它瞬间提升气质。还有手绘的陶瓷杯，每一个图案都超精美，喝水都变得更有仪式感啦。

💖不管是追求个性的时尚达人，还是喜欢挖掘小众宝贝的小可爱，都能在喜乐找到心头好。宝子们，快去喜乐逛逛，把心仪的好物带回家吧！ ",,4,¥20/人,1-2人,"情侣,孩子",餐饮美食,小吃快餐,甜品饮品 奶茶,甜,不辣,"有停车场,有WIFI,商场公共卫生间",可带宠物,"现代简约,安静,明亮",,,,,
28,麦陌,84612,麦陌,郑州正弘城B1,10:00-22:00,18476395544,," 🍰麦陌 | 甜品脑袋的宝藏店铺

宝子们，发现一家超好吃的甜品店——麦陌🎉！他家装修简约又温馨，满满的ins风，拍照超好看📷。

人气单品可太多啦！他家的蛋糕胚松软绵密，奶油轻盈不腻。像[具体人气单品名称]，一口下去，幸福感爆棚😋！还有各种小甜点，造型精致，味道超赞👍。

麦陌很适合喜欢吃甜品的宝子们，不管是下午茶时光，还是和朋友小聚，来这儿都超合适🥰。每次去都要排队，可见有多受欢迎啦！快拉上小姐妹冲呀💃！ ",正弘中心面包蛋糕甜品热门榜·第2名,4.4,¥42/人,1-2人,"情侣,朋友,孩子",餐饮美食,面包甜点,甜品饮品 奶茶,甜,不辣,"有停车场,有WIFI,商场公共卫生间",可带宠物,"现代简约,中式典雅,安静",,,,,
29,九色云,84633,九色云·野生菌火锅,郑州正弘城L8,10:00-22:00,,,"🔥一口菌汤魂穿云南雨林！九色云野生菌火锅用墨脱石锅熬煮高山野菌+180天跑山鸡汤底，琥珀色原汤鲜到舌尖发颤🌿 菌子拼盘空运48小时直达餐桌，牛肝菌绵密吸汤，见手青脆嫩带毒（别慌！服务员像保镖盯15分钟沙漏⏳煮透防幻视）；宣威火腿焖饭刮锅底是灵魂，最后塞一口玉米粑粑冰淇淋，都市雨林穿越之旅圆满收尾！
📍隐藏暴击点：
✔️ 菌汤免费续，打包回家煮面香到邻居敲门！
✔️ 长沙店有「菌子博物馆」，等位变科普课～
#山野限定 #云南味觉朝圣 #美食硬核玩家
（📸朋友圈C位公式：蒸汽缭绕的墨脱锅+彩虹菌盘+沙漏特写=99+赞）",,,,"1-2人,3-4人","家人,朋友",餐饮美食,"火锅,食品滋补",菌汤火锅,"辣,酸辣",中辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,纸巾提供,可带宠物","复古风,有卡座,等位区,安静",,,,,
30,老盐季,84635,老盐季,郑州正弘城B1,10:00-22:00,,," 一口老盐，解锁海岛风情🌴
宝子们，发现一家超有特色的店——老盐季！

他家主打各种老盐系列饮品，老盐柠檬、老盐芭乐等，独特风味超上头。店铺风格充满海岛度假感，装修像是把热带风情搬了进来，让人一秒穿越。

老盐柠檬是人气王，清爽酸甜，老盐味超独特。适合爱尝鲜、追求特别口感的宝子。逛累了来一杯，瞬间活力满满。不管是和朋友小聚还是自己享受，老盐季都超合适，快来感受这独特的海岛风味吧！ ",,,,1-2人,"情侣,朋友,孩子",餐饮美食,"奶茶,茶饮果汁","甜品饮品 奶茶,茶饮空间,下午茶",甜,不辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,可带宠物","现代简约,中式典雅,安静",,,,,
31,柠季,84637,柠季·手打柠檬茶,郑州正弘城L7,10:00-22:00,,,"🥤柠季来啦！超适合夏天的宝藏饮品店！

他家主打清爽的柠檬茶系列🍋，茶底清香，柠檬香气浓郁，一口下去超解腻！店铺风格简约又清新，装修很有特色，到处都是活力满满的柠檬元素。

人气单品鸭屎香柠檬茶，茶香和柠檬的清爽完美融合，喝一次就爱上！还有玫瑰柠檬茶，独特的玫瑰香气给饮品增添了别样风味。不管是逛街累了，还是上班困了，来柠季买上一杯，瞬间元气满满！超适合爱喝清爽饮品的宝子们，快冲！ ",,4.1,¥17/人,1-2人,"情侣,朋友,孩子",餐饮美食,"奶茶,茶饮果汁","甜品饮品 奶茶,茶饮空间,下午茶",甜,不辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,可带宠物","现代简约,中式典雅,安静",,,,,
32,兰熊鲜奶,84641,兰熊鲜奶,郑州正弘城B1,10:00-22:00,,,"🥛兰熊鲜奶来啦！

他家装修超可爱，满满ins风，拍照超好看📸。主打各种鲜奶饮品，原料超新鲜。人气单品雪顶幽兰，鲜奶搭配清爽茶底，再加上绵密雪顶，一口下去超满足😍。还有草莓牛乳炸弹，草莓果肉和鲜奶完美融合，甜而不腻。不管是学生党还是上班族，逛街累了来一杯，瞬间活力满满。约会的时候来上一杯，氛围感直接拉满💕。真的太爱兰熊鲜奶啦，宝子们一定要试试！ ",郑州美食打卡人去榜·第1名,4.1,¥17/人,1-2人,"情侣,朋友,一个人",餐饮美食,"奶茶,茶饮果汁","甜品饮品 奶茶,茶饮空间,下午茶",甜,不辣,"有停车场,有空调,有WIFI","扫码点餐,纸巾提供,可带宠物","现代简约,靠窗,安静",,,,,
